eNodeb Name,Cell ID,Result,Cell Type,Latitude,Longitude,Carrier,Azimuth
50841,21,No Sector Swap Found,Sector Split,33.77168,72.3381,L2100,55.0
50827,202,No Sector Swap Found,,33.77821,72.36049,L900,120.0
50827,33,No Sector Swap Found,Sector Split,33.77821,72.36049,L2100,335.0
50827,11,No Sector Swap Found,Sector Split,33.77821,72.36049,L1800,55.0
50827,21,Sector Swap Found Between 21 and 31,Sector Split,33.77821,72.36049,L2100,25.0
50827,22,No Sector Swap Found,,33.77821,72.36049,L2100,120.0
50827,203,No Sector Swap Found,,33.77821,72.36049,L900,305.0
50827,201,No Sector Swap Found,,33.77821,72.36049,L900,25.0
50827,13,No Sector Swap Found,Sector Split,33.77821,72.36049,L1800,335.0
50827,23,No Sector Swap Found,Sector Split,33.77821,72.36049,L2100,305.0
50827,31,Sector Swap Found Between 31 and 21,Sector Split,33.77821,72.36049,L2100,55.0
50827,3,No Sector Swap Found,Sector Split,33.77821,72.36049,L1800,305.0
50827,2,No Sector Swap Found,,33.77821,72.36049,L1800,120.0
50827,1,No Sector Swap Found,Sector Split,33.77821,72.36049,L1800,25.0
50618,201,No Sector Swap Found,,33.77725,72.32622,L900,80.0
50842,2,No Sector Swap Found,,33.79627,72.359846,L1800,130.0
50842,13,No Sector Swap Found,Sector Split,33.79627,72.359846,L1800,225.0
50842,4,No Sector Swap Found,,33.79627,72.359846,L1800,300.0
50842,21,No Sector Swap Found,Sector Split,33.79627,72.359846,L2100,5.0
50842,24,No Sector Swap Found,,33.79627,72.359846,L2100,300.0
50841,2,No Sector Swap Found,Sector Split,33.77168,72.3381,L1800,185.0
50841,23,No Sector Swap Found,,33.77168,72.3381,L2100,250.0
50841,22,No Sector Swap Found,,33.77168,72.3381,L2100,185.0
50841,202,No Sector Swap Found,,33.77168,72.3381,L900,185.0
50841,201,No Sector Swap Found,,33.77168,72.3381,L900,55.0
50841,203,No Sector Swap Found,,33.77168,72.3381,L900,250.0
50841,1,No Sector Swap Found,Sector Split,33.77168,72.3381,L1800,55.0
50841,12,No Sector Swap Found,Sector Split,33.77168,72.3381,L1800,215.0
50841,13,No Sector Swap Found,Sector Split,33.77168,72.3381,L1800,280.0
50841,11,No Sector Swap Found,Sector Split,33.77168,72.3381,L1800,85.0
50841,3,No Sector Swap Found,Sector Split,33.77168,72.3381,L1800,250.0
51013,202,No Sector Swap Found,,33.75596,72.3744,L900,115.0
51013,3,No Sector Swap Found,,33.75596,72.3744,L1800,320.0
51013,23,No Sector Swap Found,,33.75596,72.3744,L2100,320.0
51013,21,No Sector Swap Found,,33.75596,72.3744,L2100,40.0
51013,22,No Sector Swap Found,Sector Split,33.75596,72.3744,L2100,115.0
51013,1,No Sector Swap Found,,33.75596,72.3744,L1800,40.0
50842,23,No Sector Swap Found,,33.79627,72.359846,L2100,195.0
50842,202,No Sector Swap Found,,33.79627,72.359846,L900,130.0
50842,22,No Sector Swap Found,,33.79627,72.359846,L2100,130.0
50842,3,No Sector Swap Found,Sector Split,33.79627,72.359846,L1800,195.0
50842,1,No Sector Swap Found,Sector Split,33.79627,72.359846,L1800,5.0
50842,31,No Sector Swap Found,Sector Split,33.79627,72.359846,L2100,35.0
50842,201,No Sector Swap Found,,33.79627,72.359846,L900,5.0
50842,203,No Sector Swap Found,,33.79627,72.359846,L900,195.0
50842,11,No Sector Swap Found,Sector Split,33.79627,72.359846,L1800,35.0
51242,23,No Sector Swap Found,Sector Split,33.7698,72.37746,L2100,200.0
51242,32,No Sector Swap Found,Sector Split,33.7698,72.37746,L2100,145.0
51242,201,No Sector Swap Found,,33.7698,72.37746,L900,20.0
51242,21,No Sector Swap Found,,33.7698,72.37746,L2100,20.0
51242,203,No Sector Swap Found,,33.7698,72.37746,L900,200.0
51242,13,No Sector Swap Found,Sector Split,33.7698,72.37746,L1800,230.0
51242,3,No Sector Swap Found,Sector Split,33.7698,72.37746,L1800,200.0
51242,2,No Sector Swap Found,Sector Split,33.7698,72.37746,L1800,115.0
51242,1,No Sector Swap Found,,33.7698,72.37746,L1800,20.0
51242,12,No Sector Swap Found,Sector Split,33.7698,72.37746,L1800,145.0
51242,22,No Sector Swap Found,Sector Split,33.7698,72.37746,L2100,115.0
51242,33,No Sector Swap Found,Sector Split,33.7698,72.37746,L2100,230.0
51013,203,No Sector Swap Found,,33.75596,72.3744,L900,320.0
51013,2,No Sector Swap Found,Sector Split,33.75596,72.3744,L1800,115.0
51013,201,No Sector Swap Found,,33.75596,72.3744,L900,40.0
51254,201,No Sector Swap Found,,33.76932,72.39321,L900,95.0
51254,1,No Sector Swap Found,Sector Split,33.76932,72.39321,L1800,95.0
51254,2,No Sector Swap Found,Sector Split,33.76932,72.39321,L1800,240.0
51254,13,No Sector Swap Found,Sector Split,33.76932,72.39321,L1800,0.0
51254,11,No Sector Swap Found,Sector Split,33.76932,72.39321,L1800,125.0
51254,33,No Sector Swap Found,Sector Split,33.76932,72.39321,L2100,0.0
51254,31,No Sector Swap Found,Sector Split,33.76932,72.39321,L2100,125.0
51254,12,No Sector Swap Found,Sector Split,33.76932,72.39321,L1800,270.0
51254,21,No Sector Swap Found,Sector Split,33.76932,72.39321,L2100,95.0
51254,202,No Sector Swap Found,,33.76932,72.39321,L900,270.0
51254,203,No Sector Swap Found,,33.76932,72.39321,L900,335.0
51254,3,No Sector Swap Found,Sector Split,33.76932,72.39321,L1800,330.0
51254,22,No Sector Swap Found,,33.76932,72.39321,L2100,270.0
51254,23,No Sector Swap Found,Sector Split,33.76932,72.39321,L2100,330.0
51242,202,No Sector Swap Found,,33.7698,72.37746,L900,115.0
51948,21,No Sector Swap Found,,33.75834,72.34534,L2100,70.0
51948,3,No Sector Swap Found,,33.75834,72.34534,L1800,285.0
51948,22,No Sector Swap Found,,33.75834,72.34534,L2100,170.0
51948,202,No Sector Swap Found,,33.75834,72.34534,L900,170.0
51948,203,No Sector Swap Found,,33.75834,72.34534,L900,285.0
51948,201,No Sector Swap Found,,33.75834,72.34534,L900,55.0
51257,1,No Sector Swap Found,,33.769827,72.314375,L1800,90.0
51257,21,No Sector Swap Found,,33.769827,72.314375,L2100,90.0
52051,202,No Sector Swap Found,,33.78627,72.3547,L900,105.0
52051,203,No Sector Swap Found,,33.78627,72.3547,L900,225.0
52049,1,No Sector Swap Found,Sector Split,33.76842,72.35001,L1800,35.0
52049,202,No Sector Swap Found,,33.76842,72.35001,L900,190.0
52049,31,No Sector Swap Found,Sector Split,33.76842,72.35001,L2100,65.0
