eNodeb Name,Cell ID,Carrier,Site ID,Actual Tilt
52408,1,L1800,52408.0,0.0
52408,2,L1800,52408.0,0.0
52408,3,L1800,52408.0,0.0
52408,21,L2100,52408.0,0.0
52408,22,L2100,52408.0,0.0
52408,23,L2100,52408.0,0.0
52409,1,L1800,52409.0,0.0
52409,2,L1800,52409.0,0.0
52409,3,L1800,52409.0,0.0
52409,21,L2100,52409.0,0.0
52409,22,L2100,52409.0,0.0
52409,23,L2100,52409.0,0.0
52418,1,L1800,52418.0,0.0
52418,2,L1800,52418.0,0.0
52418,3,L1800,52418.0,0.0
52418,21,L2100,52418.0,0.0
52418,22,L2100,52418.0,0.0
52418,23,L2100,52418.0,0.0
52658,1,L1800,52658.0,0.0
52658,2,L1800,52658.0,0.0
52658,3,L1800,52658.0,0.0
52658,21,L2100,52658.0,0.0
52658,22,L2100,52658.0,0.0
52658,23,L2100,52658.0,0.0
52994,1,L1800,52994.0,0.0
52994,2,L1800,52994.0,0.0
52994,3,L1800,52994.0,0.0
52994,21,L2100,52994.0,0.0
52994,22,L2100,52994.0,0.0
52994,23,L2100,52994.0,0.0
53232,1,L1800,53232.0,0.0
53232,2,L1800,53232.0,0.0
53232,3,L1800,53232.0,0.0
53232,21,L2100,53232.0,0.0
53232,22,L2100,53232.0,0.0
53232,23,L2100,53232.0,0.0
8466,79,L1800,8466.0,0.0
8466,80,L1800,8466.0,0.0
8466,81,L1800,8466.0,0.0
8466,82,L1800,8466.0,0.0
8466,99,L2100,8466.0,0.0
8466,100,L2100,8466.0,0.0
8466,101,L2100,8466.0,0.0
8466,102,L2100,8466.0,0.0
52051,12,L1800,52051.0,0.0
52408,11,L1800,52408.0,0.0
52408,13,L1800,52408.0,0.0
52658,12,L1800,52658.0,0.0
50827,13,L1800,50827.0,0.0
50827,33,L2100,50827.0,0.0
52658,11,L1800,52658.0,0.0
52658,31,L2100,52658.0,0.0
53310,1,L1800,53310.0,0.0
53310,2,L1800,53310.0,0.0
53310,3,L1800,53310.0,0.0
53310,21,L2100,53310.0,0.0
53310,22,L2100,53310.0,0.0
53310,23,L2100,53310.0,0.0
52051,11,L1800,52051.0,0.0
52051,31,L2100,52051.0,0.0
52418,13,L1800,52418.0,0.0
52418,33,L2100,52418.0,0.0
51257,13,L1800,51257.0,0.0
51257,33,L2100,51257.0,2.84
50616,12,L1800,50616.0,0.0
50616,32,L2100,50616.0,0.0
52049,11,L1800,52049.0,0.0
52049,31,L2100,52049.0,0.0
50842,11,L1800,50842.0,0.0
50842,31,L2100,50842.0,0.0
